Company_ID,Total_Assets,Debt_to_Equity,Current_Ratio,Return_on_Assets,Operating_Margin,Cash_Flow,Auditor_Size,Industry,Going_Concern_Flag
1,268.49,1.03,2.78,-0.009,0.13,2.13,Big4,Services,0
2,198.28,1.64,0.67,0.058,0.141,1.98,Non-Big4,Manufacturing,0
3,256.08,0.76,1.77,0.003,-0.094,2.46,Non-Big4,Services,0
4,171.27,2.51,0.72,-0.018,0.011,0.98,Non-Big4,Services,0
5,413.17,1.5,1.13,0.078,0.001,0.1,Big4,Retail,0
6,235.34,1.49,0.93,0.075,0.089,-1.34,Big4,Services,0
7,475.16,1.2,1.11,0.115,0.123,2.23,Big4,Construction,0
8,135.76,1.64,1.17,0.03,0.215,1.64,Non-Big4,Construction,0
9,508.58,2.24,1.16,0.089,0.035,-0.45,Non-Big4,Retail,0
10,723.04,0.72,2.27,0.099,0.035,0.19,Non-Big4,Manufacturing,0
11,99.92,0.91,0.72,0.091,0.183,0.3,Big4,Construction,0
12,524.18,1.23,1.78,0.002,0.107,-1.22,Non-Big4,Construction,0
13,952.77,0.29,2.57,0.07,0.194,-0.23,Non-Big4,Manufacturing,0
14,172.99,0.76,1.19,0.085,0.106,-0.7,Big4,Construction,0
15,1300.89,1.07,1.03,0.061,-0.024,0.38,Big4,Construction,0
16,540.94,2.29,1.42,-0.086,-0.04,-0.11,Big4,Retail,0
17,246.29,1.74,2.54,0.071,-0.06,-1.44,Big4,Services,0
18,387.98,1.67,1.76,0.215,0.14,4.03,Non-Big4,Retail,0
19,596.35,2.27,1.18,0.035,0.187,2.88,Non-Big4,Manufacturing,0
20,425.47,1.38,1.99,0.009,0.246,-0.17,Big4,Retail,0
21,588.24,1.85,0.72,0.086,0.156,1.41,Non-Big4,Construction,0
22,211.78,1.41,2.15,0.082,0.185,1.63,Big4,Manufacturing,0
23,454.21,1.74,1.93,0.143,0.028,2.79,Big4,Retail,0
24,149.96,0.98,1.35,-0.028,-0.024,-0.23,Big4,Retail,0
25,373.21,0.0,0.93,0.111,0.157,2.64,Non-Big4,Retail,0
26,214.28,1.38,0.89,0.101,0.118,0.18,Non-Big4,Construction,0
27,241.08,2.78,2.03,0.05,0.09,-1.0,Big4,Retail,0
28,958.4,2.33,2.58,0.084,0.115,2.09,Non-Big4,Retail,0
29,866.03,2.37,1.09,0.132,0.109,2.94,Non-Big4,Services,0
30,617.94,2.61,1.97,0.121,0.196,4.88,Big4,Retail,0
31,187.8,1.58,0.2,-0.02,0.197,-0.8,Non-Big4,Manufacturing,0
32,323.28,1.68,1.13,0.117,0.129,2.05,Big4,Retail,0
33,943.1,0.94,1.58,0.055,0.156,0.39,Big4,Manufacturing,0
34,445.5,1.22,0.87,0.065,0.126,2.18,Non-Big4,Manufacturing,0
35,2045.77,2.05,0.85,0.065,0.038,-1.21,Non-Big4,Retail,0
36,531.3,2.58,1.07,0.049,0.148,-0.89,Non-Big4,Retail,0
37,461.48,1.37,1.83,0.143,-0.046,-0.16,Big4,Construction,0
38,324.93,1.09,1.45,0.054,0.175,1.12,Big4,Retail,0
39,442.96,1.5,0.2,-0.018,-0.028,0.04,Non-Big4,Services,0
40,362.59,2.04,0.2,0.032,0.106,1.99,Non-Big4,Services,0
41,662.27,0.2,1.11,0.073,0.004,2.54,Big4,Manufacturing,0
42,788.15,0.0,1.97,0.146,0.13,1.9,Non-Big4,Services,0
43,232.71,1.0,0.2,0.102,0.077,3.43,Big4,Manufacturing,1
44,158.88,0.4,1.2,0.0,-0.064,1.62,Non-Big4,Construction,0
45,111.57,1.04,1.18,0.234,0.118,-0.83,Big4,Manufacturing,0
46,575.7,1.37,2.71,0.079,0.028,3.05,Non-Big4,Retail,0
47,186.35,1.09,1.29,0.149,0.159,0.09,Big4,Manufacturing,0
48,89.39,2.81,1.91,0.049,0.08,2.37,Non-Big4,Construction,0
49,529.54,1.79,1.71,0.097,0.116,3.36,Non-Big4,Retail,0
50,2310.22,1.77,0.2,0.119,-0.006,1.69,Big4,Services,0
51,401.72,2.06,2.21,0.145,0.027,-1.24,Non-Big4,Manufacturing,0
52,725.56,0.48,1.77,0.134,0.039,-0.38,Non-Big4,Services,0
53,427.21,2.44,2.01,0.121,0.157,2.98,Non-Big4,Manufacturing,0
54,376.45,1.43,4.0,0.038,0.231,0.75,Non-Big4,Construction,0
55,767.67,2.1,0.2,0.02,0.008,1.12,Non-Big4,Manufacturing,0
56,329.25,0.54,2.98,0.083,0.177,2.14,Non-Big4,Manufacturing,0
57,486.47,0.1,1.37,0.125,-0.115,2.04,Big4,Manufacturing,0
58,505.32,2.24,1.83,0.044,-0.027,1.42,Big4,Retail,0
59,252.73,1.84,1.56,0.135,-0.006,0.69,Big4,Services,0
60,807.89,0.69,1.26,0.162,-0.042,0.53,Big4,Manufacturing,0
61,356.93,0.72,1.14,-0.004,-0.063,2.29,Big4,Services,0
62,237.69,2.51,1.86,0.001,0.117,1.83,Big4,Retail,1
63,587.31,0.43,0.39,0.05,0.061,0.61,Non-Big4,Retail,0
64,215.09,2.98,2.2,0.082,0.114,2.62,Big4,Retail,0
65,411.47,0.69,1.27,0.023,0.142,0.81,Big4,Retail,0
66,400.86,2.07,0.7,0.155,0.104,-0.28,Non-Big4,Services,0
67,862.75,1.2,1.24,0.09,0.139,-0.14,Big4,Manufacturing,0
68,562.44,2.04,2.61,0.063,0.074,-0.47,Non-Big4,Manufacturing,0
69,396.42,1.01,1.17,-0.041,-0.027,0.59,Big4,Construction,0
70,715.11,1.35,1.89,-0.032,0.175,2.85,Non-Big4,Construction,0
71,1067.58,1.54,1.02,0.08,0.027,-0.21,Non-Big4,Retail,0
72,596.14,0.6,2.21,-0.089,-0.004,1.28,Big4,Manufacturing,0
73,406.36,2.17,2.15,0.131,0.064,0.01,Big4,Services,0
74,161.05,1.04,3.08,0.049,-0.002,0.61,Non-Big4,Retail,0
75,191.41,1.29,1.46,0.287,0.042,-1.27,Non-Big4,Manufacturing,0
76,325.82,0.61,2.13,0.222,0.111,0.67,Non-Big4,Manufacturing,0
77,263.31,0.0,1.68,0.047,0.111,0.71,Non-Big4,Services,0
78,353.94,1.33,2.64,0.053,-0.001,1.81,Big4,Services,0
79,419.75,3.67,1.02,0.13,0.036,1.33,Big4,Manufacturing,0
80,584.52,2.21,2.2,0.179,0.177,-0.8,Big4,Manufacturing,0
81,384.0,1.48,1.44,-0.055,0.125,2.63,Non-Big4,Manufacturing,0
82,567.11,1.26,1.55,-0.065,0.267,1.32,Non-Big4,Services,0
83,422.05,1.52,1.67,0.016,0.186,1.3,Big4,Manufacturing,0
84,101.21,1.99,1.8,0.101,0.183,0.99,Big4,Manufacturing,0
85,209.03,0.44,1.51,0.095,-0.045,0.22,Big4,Services,0
86,364.72,2.5,1.77,0.135,0.149,1.33,Big4,Manufacturing,0
87,172.99,2.14,2.86,-0.024,0.075,1.71,Non-Big4,Services,0
88,613.97,2.15,2.39,-0.102,0.03,-1.62,Non-Big4,Manufacturing,0
89,1177.94,1.89,2.3,0.12,0.095,0.19,Non-Big4,Manufacturing,0
90,946.84,1.52,1.24,0.002,0.165,0.62,Non-Big4,Manufacturing,0
91,347.44,2.11,0.89,-0.081,0.125,1.38,Big4,Services,0
92,1145.4,2.03,2.36,0.07,0.001,2.79,Non-Big4,Construction,0
