username,firm,country_code,certification,specialization,years_experience,clients_portfolio_size,followers
auditor_0000,Global Assurance,DK,CIA,Financial Audit,10,16,171
auditor_0001,Trust and Co,SE,CIA,Sustainability,15,15,101
auditor_0002,Global Assurance,IT,ACCA,Financial Audit,15,25,82
auditor_0003,Prime Advisory,FI,CPA,Financial Audit,10,13,82
auditor_0004,Prime Advisory,ES,ACCA,Financial Audit,9,1,0
auditor_0005,Integrity Audit,DK,CISA,Financial Audit,5,7,145
auditor_0006,Seaside Audit,NL,State Authorised,Financial Audit,3,3,237
auditor_0007,Capital Assurance,SE,State Authorised,Financial Audit,6,18,6
auditor_0008,Capital Assurance,IT,State Authorised,Financial Audit,5,19,27
auditor_0009,North Continental,ES,State Authorised,Sustainability,9,11,96
auditor_0010,Global Assurance,ES,State Authorised,IT Audit,4,36,118
auditor_0011,Capital Assurance,IT,State Authorised,Financial Audit,2,26,22
auditor_0012,Prime Advisory,DE,None,Sustainability,9,1,13
auditor_0013,Global Assurance,GB,State Authorised,Forensics,8,25,133
auditor_0014,Capital Assurance,NO,ACCA,Financial Audit,7,14,1
auditor_0015,Integrity Audit,SE,CPA,Financial Audit,4,13,204
auditor_0016,Prime Advisory,NO,ACCA,Financial Audit,9,1,145
auditor_0017,Atlas Audit,FI,CIA,Tax,6,11,168
auditor_0018,Nordic Audit Partners,FI,CISA,Tax,13,27,52
auditor_0019,Seaside Audit,DE,State Authorised,Sustainability,6,21,198
auditor_0020,Copenhagen Review,NL,State Authorised,IT Audit,5,16,31
auditor_0021,North Continental,NO,State Authorised,Financial Audit,2,26,228
auditor_0022,Atlas Audit,ES,State Authorised,IT Audit,7,28,148
auditor_0023,Copenhagen Review,GB,ACCA,Internal Control,4,21,243
auditor_0024,Trust and Co,ES,ACCA,Tax,7,33,0
auditor_0025,Global Assurance,NO,CPA,Tax,12,18,96
auditor_0026,Seaside Audit,IT,State Authorised,Financial Audit,8,1,102
