,Variable Name,Description,Unnamed: 2
0,UniqueID,Identifier for customers,
1,loan_default,Payment default in the first EMI on due date,
2,disbursed_amount,Amount of Loan disbursed,
3,asset_cost,Cost of the Asset,
4,ltv,Loan to Value of the asset,
5,branch_id,Branch where the loan was disbursed,
6,supplier_id,Vehicle Dealer where the loan was disbursed,
"7,manufacturer_id,""Vehicle manufacturer(Hero, Honda, TVS etc_)"","
8,Current_pincode,Current pincode of the customer,
9,Date_of_Birth,Date of birth of the customer,
10,Employment_Type,Employment Type of the customer (Salaried/Self Employed),
11,DisbursalDate,Date of disbursement,
12,State_ID,State of disbursement,
13,Employee_code_ID,Employee of the organization who logged the disbursement,
14,MobileNo_Avl_Flag,if Mobile no_ was shared by the customer then flagged as 1,
15,Aadhar_flag,if aadhar was shared by the customer then flagged as 1,
16,PAN_flag,if pan was shared by the customer then flagged as 1,
17,VoterID_flag,if voter  was shared by the customer then flagged as 1,
18,Driving_flag,if DL was shared by the customer then flagged as 1,
19,Passport_flag,if passport was shared by the customer then flagged as 1,
20,PERFORM_CNS_SCORE,Bureau Score,
21,PERFORM_CNS_SCORE_DESCRIPTION,Bureau score description,
22,PRI_NO_OF_ACCTS,count of total loans taken by the customer at the time of disbursement,Primary accounts are those which the customer has taken for his personal use
23,PRI_ACTIVE_ACCTS,count of active loans taken by the customer at the time of disbursement,
24,PRI_OVERDUE_ACCTS,count of default accounts at the time of disbursement,
25,PRI_CURRENT_BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,
26,PRI_SANCTIONED_AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,
27,PRI_DISBURSED_AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,
28,SEC_NO_OF_ACCTS,count of total loans taken by the customer at the time of disbursement,Secondary accounts are those which the customer act as a co-applicant or gaurantor
29,SEC_ACTIVE_ACCTS,count of active loans taken by the customer at the time of disbursement,
30,SEC_OVERDUE_ACCTS,count of default accounts at the time of disbursement,
31,SEC_CURRENT_BALANCE,total Principal outstanding amount of the active loans at the time of disbursement,
32,SEC_SANCTIONED_AMOUNT,total amount that was sanctioned for all the loans at the time of disbursement,
33,SEC_DISBURSED_AMOUNT,total amount that was disbursed for all the loans at the time of disbursement,
34,PRIMARY_INSTAL_AMT,EMI Amount of the primary loan,
35,SEC_INSTAL_AMT,EMI Amount of the secondary loan,
36,NEW_ACCTS_IN_LAST_SIX_MONTHS,New loans taken by the customer in last 6 months before the disbursment,
37,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,Loans defaulted in the last 6 months,
38,AVERAGE_ACCT_AGE,Average loan tenure,
39,CREDIT_HISTORY_LENGTH,Time since first loan,
40,NO_OF_INQUIRIES,Enquries done by the customer for loans,
