id,username,client_name,country_code,industry_code,engagement_type,date_start,date_end,latitude,longitude
0,auditor_0886,ClientCorp 3374,SE,TMT03,Advisory,2016-02-14,2016-03-05,,
1,auditor_2063,ClientCorp 4775,DE,REAL02,Statutory Audit,2021-06-15,2021-07-06,,
2,auditor_0000,ClientCorp 3499,FR,REAL01,Review,2019-01-01,2019-01-18,,
3,auditor_2278,ClientCorp 5702,SE,REAL02,Statutory Audit,2023-04-15,2023-05-05,,
4,auditor_2569,ClientCorp 4684,FI,FIN02,Statutory Audit,2018-02-01,2018-03-02,,
5,auditor_0704,ClientCorp 1286,NO,ENE02,Statutory Audit,2015-07-05,2015-07-15,,
6,auditor_0802,ClientCorp 1713,FR,UTIL01,Statutory Audit,2018-04-23,2018-05-14,,
7,auditor_0250,ClientCorp 5421,NO,FIN01,Statutory Audit,2021-12-08,2022-01-11,,
8,auditor_0128,ClientCorp 0966,FI,IND03,Review,2023-02-13,2023-02-19,,
9,auditor_1501,ClientCorp 5138,DE,CONS02,Review,2023-07-15,2023-07-24,,
10,auditor_3419,ClientCorp 5626,SE,PUB02,Statutory Audit,2022-09-18,2022-09-23,,
11,auditor_3414,ClientCorp 1304,NO,PUB01,Statutory Audit,2015-02-01,2015-02-11,,
12,auditor_1534,ClientCorp 0288,GB,FIN01,Statutory Audit,2022-09-04,2022-09-06,,
13,auditor_0444,ClientCorp 0695,SE,IND02,Review,2017-05-17,2017-05-18,,
14,auditor_0629,ClientCorp 3401,NO,UTIL01,Statutory Audit,2017-07-28,2017-08-19,,
15,auditor_1090,ClientCorp 5847,ES,TMT03,Statutory Audit,2021-03-23,2021-04-08,,
16,auditor_3891,ClientCorp 4848,NL,CONS03,Advisory,2021-07-26,2021-08-10,,
17,auditor_3630,ClientCorp 3712,ES,IND03,Statutory Audit,2021-08-31,2021-09-28,,
18,auditor_2705,ClientCorp 4648,GB,TMT03,Statutory Audit,2020-01-14,2020-01-27,,
19,auditor_0705,ClientCorp 5005,DE,PUB02,Advisory,2019-12-29,2020-01-14,,
20,auditor_1293,ClientCorp 2132,DK,IND01,Review,2023-03-24,2023-04-10,,
21,auditor_0803,ClientCorp 3325,ES,PUB01,Statutory Audit,2023-08-31,2023-09-19,,
22,auditor_1904,ClientCorp 0746,NO,IND02,Advisory,2016-04-17,2016-04-28,,
23,auditor_3689,ClientCorp 0441,ES,CONS03,Statutory Audit,2022-11-08,2022-12-02,,
24,auditor_3889,ClientCorp 0928,IT,TMT01,Statutory Audit,2019-06-05,2019-07-18,,
25,auditor_2918,ClientCorp 1108,ES,HC01,Statutory Audit,2017-01-06,2017-01-17,,
26,auditor_3587,ClientCorp 1899,DK,REAL02,Review,2017-09-12,2017-09-28,,
27,auditor_2082,ClientCorp 4972,FI,CONS01,Statutory Audit,2015-10-31,2015-11-30,,
28,auditor_2207,ClientCorp 4525,ES,HC01,Statutory Audit,2020-11-20,2020-12-12,,
29,auditor_0383,ClientCorp 2128,NO,PUB02,Statutory Audit,2021-02-26,2021-03-18,,
30,auditor_3391,ClientCorp 1461,FI,FIN02,Statutory Audit,2020-07-02,2020-07-09,,
31,auditor_0572,ClientCorp 1807,ES,IND01,Review,2016-01-02,2016-01-07,,
32,auditor_0605,ClientCorp 5119,ES,REAL01,Statutory Audit,2019-09-26,2019-10-19,,
33,auditor_0328,ClientCorp 2637,DE,TMT02,Statutory Audit,2022-08-22,2022-09-14,,
34,auditor_3470,ClientCorp 2767,DK,PUB02,Statutory Audit,2023-08-02,2023-08-06,,
35,auditor_3195,ClientCorp 0224,DK,ENE02,Review,2022-09-30,2022-10-06,,
36,auditor_3534,ClientCorp 5924,NO,CONS03,Statutory Audit,2018-08-13,2018-08-14,,
37,auditor_3102,ClientCorp 5219,FI,FIN03,Statutory Audit,2015-12-05,2015-12-25,,
38,auditor_1969,ClientCorp 0805,NL,HC03,Statutory Audit,2021-01-16,2021-01-26,,
39,auditor_0234,ClientCorp 5168,DK,HC02,Review,2021-10-13,2021-10-22,,
40,auditor_2945,ClientCorp 1227,GB,REAL01,Assurance Other,2018-07-05,2018-07-20,,
